get_module,get_api,get_username,get_password
get_arp,/api/node/mo/sys/arp.json?rsp-subtree=full&rsp-prop-include=set-config-only,admin,Admin_1234!
get_bgp,/api/node/mo/sys/bgp.json?rsp-subtree=full,admin,Admin_1234!
get_interface_config,/api/node/mo/sys/intf.json?rsp-prop-include=set-config-only&rsp-subtree=full,admin,Admin_1234!
get_interface_oper,/api/node/mo/sys/intf.json?rsp-prop-include=set-oper-only&rsp-subtree=full,admin,Admin_1234!
get_ospf,/api/node/mo/sys/ospf.json?rsp-subtree=full,admin,Admin_1234!
get_sys_cpu_history,/api/node/mo/sys/procsys.json?rsp-subtree=full,admin,Admin_1234!
get_system_table,/api/node/mo/sys/systemTable.json?rsp-subtree=full,admin,Admin_1234!
get_vdc_info,/api/node/mo/sys/vdc-1.json?rsp-prop-include=set-config-only&rsp-subtree=full,admin,Admin_1234!
get_version_info,/api/node/class/sysmgrShowVersion.json?rsp-subtree=full,admin,Admin_1234!
get_vlans_config,/api/node/mo/sys/bd.json?rsp-subtree=full&rsp-prop-include=set-config-only,admin,Admin_1234!
get_vlans_oper,/api/node/mo/sys/bd.json?rsp-prop-include=set-oper-only&rsp-subtree=full,admin,Admin_1234!
get_vrf,/api/node/mo/sys/vrfTable.json?rsp-subtree=full,admin,Admin_1234!
